codigo,descricao
4.09.00000000581,CHAVE SOQUETE ESTRIADO ENC. 1/2 X 30MM
4.09.00000000582,SOQUETE IMPACTO SEXT 1X33
4.09.00000000583,CX FERRAMENTA BAU 400 X 160 X 110 840
4.09.00000000584,AGULHEIRO PARA MAÄARICO
4.09.00000000585,ALICATE EXPANSOR ANEL PISTAO 80-120MM
4.09.00000000586,ALICATE EXPANSOR ANEL PISTAO 110-160MM
4.09.00000000587,JG CH ALLEN LONGA 3,0-14MM 8PCS C/SUPORTE 42L/8M
4.09.00000000588,CHAVE SOQUETE ESTRIADO ENC. 1/2 X 27MM
4.09.00000000589,CHAVE SOQUETE ESTRIADO ENC. 1/2 X 28MM
4.09.00000000590,CHAVE SOQUETE ESTRIADO ENC. 1/2 X 26MM
4.09.00000000591,BANQUETA DUPLO ACESSO EM ALUMINIO 2 DEGRAUS - ALULEV
4.09.00000000592,CHAVE SOQUETE ESTRIADO ENC. 1/2 X 24MM
4.09.00000000593,CHAVE SOQUETE ESTRIADO ENC. 1/2 X 23MM
4.09.00000000594,CHAVE SOQUETE ESTRIADO ENC. 1/2 X 22MM
4.09.00000000595,JG CH ALLEN CURTA POL 1/8-9/16 10PCS C/SUPORTE 44420/210
4.09.00000000596,CHAVE SOQUETE ESTRIADO ENC. 1/2 X 21MM
4.09.00000000597,CHAVE SOQUETE ESTRIADO ENC. 1/2 X 19MM
4.09.00000000598,CHAVE SOQUETE ESTRIADO ENC. 1/2 X 18MM
4.09.00000000599,CHAVE SOQUETE ESTRIADO ENC. 1/2 X 16MM
4.09.00000000600,CHAVE SOQUETE ESTRIADO ENC. 1/2 X 15MM
4.09.00000000601,CHAVE SOQUETE ESTRIADO ENC. 1/2 X 14MM
4.09.00000000602,CHAVE SOQUETE ESTRIADO ENC. 1/2 X 13MM
4.09.00000000603,CHAVE SOQUETE ESTRIADO ENC. 1/2 X 12MM
4.09.00000000604,CHAVE SOQUETE ESTRIADO ENC. 1/2 X 11MM
4.09.00000000605,CHAVE SOQUETE ESTRIADO ENC. 1/2 X 10MM
4.09.00000000606,BROCA CONCRETO VIDEA 7,0 MM - 9/32
4.09.00000000607,CHAVE SOQUETE IMPACTO ENC. 3/4 X 30MM LONGO
4.09.00000000608,CHAVE SOQUETE IMPACTO ENC. 3/4 X 27MM LONGO
4.09.00000000609,CHAVE SOQUETE IMPACTO ENC. 1/2 X 22MM LONGO
4.09.00000000610,CHAVE SOQUETE IMPACTO ENC. 1/2 X 21MM LONGO
4.09.00000000611,CHAVE SOQUETE IMPACTO ENC. 1/2 X 19MM LONGO NOLL
4.09.00000000612,CHAVE SOQUETE IMPACTO ENC. 1/2 X 19MM LONGO
4.09.00000000613,CHAVE SOQUETE IMPACTO ENC. 1/2 X 17MM LONGO
4.09.00000000614,CHAVE SOQUETE IMPACTO ENC. 1/2 X 16MM LONGO
4.09.00000000615,CHAVE SOQUETE IMPACTO ENC. 1/2 X 15MM LONGO
4.09.00000000616,CHAVE SOQUETE IMPACTO ENC. 1/2 X 15MM LONGO R6300
4.09.00000000617,CHAVE SOQUETE IMPACTO ENC. 1/2 X 13MM LONGO
4.09.00000000618,CHAVE SOQUETE IMPACTO ENC. 1/2 X 11MM LONGO
4.09.00000000619,CHAVE SOQUETE IMPACTO ENC. 1/2 X 10MM LONGO
4.09.00000000620,ALAVANCA DE FERRO REDONDO 1X1,80CM ESPAÄO LISO
4.09.00000000621,CHAVE SOQUETE IMPACTO ENC. 3/4 X 32MM LONGO
4.09.00000000622,CHAVE SOQUETE IMPACTO ENC. 1/2 X 24MM LONGO
"4.09.00000000623,TALHADEIRA CHATA 8"""
4.09.00000000624,ESMERILHADEIRA 7 2700W DWE4577NB2 220V GATILHO HM DEWALT
4.09.00000000625,PROPULSORA PNEUMATICA COM  BALDE 25KG
4.09.00000000626,BROCA DE VIDEA SDS - PLUS 20X310MM ROCAST
4.09.00000000627,PARAFUSADEIRA 12V BIV
4.09.00000000628,MARTELO DE MADEIRA PARA BATER PNEU
4.09.00000000629,KIT BROCAS V-LINE 41PÄS
4.09.00000000630,SERRA COPO
4.09.00000000631,ESPATULA CHATA RETA 61MM
4.09.00000000632,CARRO TRANSPORTE P/ GµS
4.09.00000000633,MARRETA DE BRONZE CABO DE FIBRA 1KG
4.09.00000000634,MARRETA DE BRONZE CABO DE FIBRA 2KG
4.09.00000000635,LANÄA GIRAT‡RIA 1050 MM P.CAPA(S/EMB)
