codigo,descricao
"4.09.000017467,Soquete 20mm enc. 1/2"" sextavado"
"4.09.000015016,Soquete 21mm enc. 1/2"" sextavado"
"4.09.000015017,Soquete 22mm enc. 1/2"" sextavado"
"4.09.000015018,Soquete 23mm enc. 1/2"" sextavado"
"4.09.000021006,Soquete 24mm enc. 1/2"" sextavado"
"4.09.000015020,Soquete 26mm enc. 1/2"" sextavado"
"4.09.000019022,Soquete 27mm enc. 1/2"" sextavado"
"4.09.000015022,Soquete 28mm enc. 1/2"" sextavado"
"4.09.000019025,Soquete 30mm enc. 1/2"" sextavado"
"4.09.000019027,Soquete 32mm enc. 1/2"" sextavado"
"4.09.000001938,Soquete 3/8"" enc. 1/2"" sextavado"
"4.09.000019716,Soquete 7/16"" enc. 1/2"" sextavado"
"4.09.000001912,Soquete 1/2"" enc. 1/2"" sextavado"
"4.09.000019916,Soquete 9/16"" enc. 1/2"" sextavado"
"4.09.000191932,Soquete 19/32"" enc. 1/2"" sextavado"
"4.09.000001958,Soquete 5/8"" enc. 1/2"" sextavado"
"4.09.000191116,Soquete 11/16"" enc. 1/2"" sextavado"
"4.09.000001934,Soquete 3/4"" enc. 1/2"" sextavado"
"4.09.000192532,Soquete 25/32"" enc. 1/2"" sextavado"
"4.09.000191316,Soquete 13/16"" enc. 1/2"" sextavado"
"4.09.000001978,Soquete 7/8"" enc. 1/2"" sextavado"
"4.09.000192932,Soquete 29/32"" enc. 1/2"" sextavado"
"4.09.000191516,Soquete 15/16"" enc. 1/2"" sextavado"
"4.09.000000191,Soquete 1"" enc. 1/2"" sextavado"
"4.09.000015067,Soquete 1.1/16"" enc. 1/2"" sextavado"
"4.09.000015068,Soquete 1.1/8"" enc. 1/2"" sextavado"
"4.09.000015069,Soquete 1.3/16"" enc. 1/2"" sextavado"
"4.09.000015070,Soquete 1.1/4"" enc. 1/2"" sextavado"
"4.09.000013200,Cabo ""T"" - enc. 1/4"""
"4.09.000013220,ExtensÆo Curta de 4"" enc. 1/4"""
"4.09.000013250,Junta universal enc. 1/4"""
"4.09.000013270,Cabo com quadrado enc. 1/4"""
"4.09.000013230,Catraca simples enc. 1/4"""
"4.09.000013001,Soquete 4mm enc. 1/4"" sextavado"
"4.09.000013002,Soquete 4,5mm enc. 1/4"" sextavado"
"4.09.000013003,Soquete 5mm enc. 1/4"" sextavado"
"4.09.000013004,Soquete 5,5mm enc. 1/4"" sextavado"
"4.09.000013005,Soquete 6mm enc. 1/4"" sextavado"
"4.09.000013006,Soquete 7mm enc. 1/4"" sextavado"
"4.09.000013007,Soquete 8mm enc. 1/4"" sextavado"
"4.09.000013008,Soquete 9mm enc. 1/4"" sextavado"
"4.09.000013009,Soquete 10mm enc. 1/4"" sextavado"
"4.09.000013010,Soquete 11mm enc. 1/4"" sextavado"
"4.09.000013011,Soquete 13mm enc. 1/4"" sextavado"
4.09.000100000,Lanterna de Led Recarreg vel
4.09.000000319,Lima 3 Quinas
4.09.000000424,Lima Chata Murca 8''
4.09.000031996,Lima Para Recuperar Roscas em Pol.
"4.09.000000016,Lima Redonda Bastarda 8"""
4.09.000000014,Lima Rotativa 10 x 20 x 6 mm
4.09.0000M3005,Macho Manual de 3,0 - 0,5
4.09.0000M4007,Macho Manual de 4,0 - 0,7
4.09.0000M5008,Macho Manual de 5,0 - 0,8
4.09.00000M601,Macho Manual de 6,0 - 1,0
4.09.000M80125,Macho Manual de 8,0 - 1,25
"4.09.000015220,Manivela para Soquete Encaixe 1/2"""
4.09.000050145,Marreta Quadrada 1 Kg
4.09.000037030,Martelo Tipo Bola 500g
4.09.000000425,Mult¡metro Minipa ET2042
4.09.0530109B1,Paqu¡metro 0,05mm / 150mm
4.09.000000107,Pendente Luz ExtensÆo Emergˆncia Socorro para Bateria 12V
4.09.000038001,Pun‡Æo de Centro n§ 4
4.09.000038002,Pun‡Æo de Centro n§ 5
4.09.000038210,Saca Pino 2mm x 150mm
4.09.000038220,Saca Pino 3mm x 150mm
4.09.000038230,Saca Pino 4mm x 150mm
4.09.000038240,Saca Pino 5mm x 150mm
4.09.000038250,Saca Pino 6mm x 150mm
4.09.000038260,Saca Pino 8mm x 150mm
"4.09.000015755,Soquete 5/8'' enc. 1/2"" longo (Retirar Vela de Igni‡Æo)"
"4.09.000015156,Soquete Estriado de 5/8'' enc. 1/2"""
"4.09.000000699,Soquete 13/16'' enc. 1/2"" longo (Retirar Vela de Igni‡Æo)"
"4.09.000017458,Soquete 1.5/16"" enc. 3/4"" sextavado"
"4.09.000017402,Soquete 22mm enc. 3/4"" sextavado"
"4.09.000017009,Soquete 36mm enc. 3/4"" sextavado"
4.09.000017407,Soquete Sextavado de 3/4'' de 30 mm
"4.09.000017418,Soquete Extriado de 3/4"" de 55 mm"
4.09.000038104,Talhadeira 19mm
4.09.00L516CME,Trena - Fita de A‡o 5 Metros
4.09.000000343,Chave L Tipo TORXX com Guia - TS10
4.09.000000344,Chave L Tipo TORXX com Guia - TS15
4.09.000000345,Chave L Tipo TORXX com Guia - TS20
4.09.000000346,Chave L Tipo TORXX com Guia - TS25
4.09.000000347,Chave L Tipo TORXX com Guia - TS27
4.09.000000348,Chave L Tipo TORXX com Guia - TS30
4.09.000000349,Chave L Tipo TORXX com Guia - TS40
4.09.000000350,Chave L Tipo TORXX com Guia - TS45
4.09.000000351,Chave L Tipo TORXX com Guia - TS50
4.09.000079452,Chave L Tipo TORXX 5 Pontas com Guia
4.09.000079453,Chave L Tipo TORXX 6 Pontas com Guia
4.09.000012500,Macaco Hidra£lico
4.09.000003219,Redu‡Æo Gedore 3/4 X 1/2
